taxonomy	MetaAn_1	MetaAn_10	MetaAn_11	MetaAn_12	MetaAn_13	MetaAn_14	MetaAn_15	MetaAn_16	MetaAn_17	MetaAn_18	MetaAn_19	MetaAn_2	MetaAn_20	MetaAn_21	MetaAn_22	MetaAn_23	MetaAn_24	MetaAn_25	MetaAn_26	MetaAn_27	MetaAn_28	MetaAn_29	MetaAn_3	MetaAn_30	MetaAn_31	MetaAn_32	MetaAn_33	MetaAn_34	MetaAn_35	MetaAn_36	MetaAn_37	MetaAn_38	MetaAn_39	MetaAn_4	MetaAn_40	MetaAn_41	MetaAn_43	MetaAn_44	MetaAn_45	MetaAn_46	MetaAn_47	MetaAn_48	MetaAn_49	MetaAn_5	MetaAn_50	MetaAn_53	MetaAn_54	MetaAn_55	MetaAn_56	MetaAn_57	MetaAn_58	MetaAn_59	MetaAn_6	MetaAn_60	MetaAn_61	MetaAn_62	MetaAn_63	MetaAn_64	MetaAn_65	MetaAn_66	MetaAn_67	MetaAn_68	MetaAn_69	MetaAn_7	MetaAn_70	MetaAn_71	MetaAn_72	MetaAn_73	MetaAn_74	MetaAn_75	MetaAn_76	MetaAn_77	MetaAn_78	MetaAn_79	MetaAn_8	MetaAn_80	MetaAn_81	MetaAn_82	MetaAn_83	MetaAn_84	MetaAn_9
Methylophilaceae	0	0.04	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62	0	0.03	0	0	0	0	0	0	0	0	0	0.11	0	0	0.04	0.38	0	0	0.09	0.04	0.07	0	0.54	0	0	0	0	0.04	0	0.04	0.14	0	0	0.19	0.22	0.13	0.05	0.09	0.81
Pseudomonadaceae	0.02	0.43	0	0.06	0.05	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0.05	0	0.13	0	0	0	0	0	0.06	0.02	0.81	0	0	0.03	0.01	0.01	0.04	0.24	0.21	0.02	1.41	10.4	0	1.97	0	0	0.18	0	0.02	0.23	0	0.09	0.06	0.08	0.03	0.1	0.12	0
Oleiphilaceae	0	0.19	0	0.32	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0.23	0	0	0	0.04	0.26	0	0.43	0	0	0.33	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0
DSM-21967	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moraxellaceae	0.32	0.04	0	0	0	0	0	0	0	0	0	0.03	0	0.31	0	0	0	0	0	0	0	0	0.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.22	0	0	0	0	0.47	0	0	1.07	0.02	0.9	0	0.59	8.56	0	13.9	0	0	0	0	0	0	0.17	0.08	0.59	0	0	0	0	0.05
Nevskiaceae	0.99	0.37	0	0.37	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84	0	0.04	0	0	0	0	0	0	0	0	0.11	0	0.01	0	0	0.03	0	0	0.01	0.52	0	0	0	0	0	0	0	0.16	0	1.74	0	0	0.09	0.81	0	0.45	0.15	0.28	1.3
GCA-2729495	0	0.06	0	0.38	0.21	0	0	0	0	0	0	0	0	0.14	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0.05	0	0.02	0	0	0	0	0.06	0.21	0.07	0.02	0	0	0	0	0	0	0	0	0.07	0.18	0	0.08	0	0.07	0.02	0.26	0.03
Methylophagaceae	0.03	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.01	0	0.02	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tissierellaceae	0	0.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	2.12	0.63	0	2.2	0	0	0	0	0	0	0	0.52	0	0	0	0	0	0
Gottschalkiaceae	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptoniphilaceae	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0.34	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0
Tepidimicrobiaceae	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aristaeellaceae	0	0.13	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0.04	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71	0.33	0	0.07	0	0	0	0	0	0	0	0.18	0.04	0	0	0	0	0
Eubacteriaceae	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erysipelotrichaceae	0	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87	0.12	0	2.01	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0
Amphibacillaceae	0.04	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0.17	0	0	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trueperaceae	0	2.82	0	0.06	0	0	0	0	0.01	0	0	0.03	0	0	0	0	0.1	0.03	0.13	0.25	0.08	0.01	0.12	0.16	0.01	0	0.02	0.19	0.14	0	0	0	0.03	0	0.16	0	0.31	0.16	0.02	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0.19	0	0	0.15	0	0.36	0	0	0	0.02	0.04	0	0	0	0	0	0	0	0	0	0	0	0
Gemmatimonadaceae	2.11	0.83	5.67	0	0	4.34	5.11	2.75	1.24	0.75	3.93	1.71	1.68	1.94	3.41	3.74	0.69	1.6	0.33	0.26	7.83	5.01	0.76	0.61	1.5	0.49	0.71	0.22	1.31	0.53	1.93	0.6	2.03	2.96	0.53	0.8	1.2	1.06	2.67	1.15	1.87	2.29	4.69	4.43	4.48	0.87	2.07	3.02	5.04	6.76	1.1	1.36	4.95	3.24	1.05	0.49	0.36	3.2	3.38	1	0.57	1.19	0.91	0.3	0	5.43	0.32	1.13	1.05	7.98	5.16	1.73	3.34	3.69	4.25	2.59	7.01	9.3	5.96	4.23	8.45
GWC2-71-9	0.02	0.06	2.14	0.09	0	0.76	0.62	0.19	0.86	0.16	1.95	0.24	0	0.71	1.46	0.19	0.04	0	0	0.35	0	0.09	0	0.57	0.59	0.57	0.47	0.16	0.21	0.19	0.21	0.63	0.7	1.54	0.15	0.2	0	0.36	0.96	0.26	0.27	0	1.16	2.34	0.58	0	1.08	0.48	0.93	0.67	0.15	0.34	2.35	0.71	0.04	0.1	0.09	0.19	2.08	0	0.54	0.29	1.19	0	0	1.57	0	0	0.02	1.64	0.23	0.12	0.61	1.02	0.05	1.88	0.26	3.9	0.74	1.46	0.94
Longimicrobiaceae	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.06	0.08	0.03	0	0	0.16	0.01	0.05	0.02	0	0.1	0	0.02	0	0.05	0	0.47	0.03	0.42	0.23	0.03	0.03	0.03	0	0	0	0.07	3.5	0	0	0	0.07	7.22	0	0	0	0	0	0	0	0	0.22	0.28	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0
Sumerlaeaceae	0	0.06	0	0	0	0	0	0	0.02	0	0	0.04	0.06	0	0	0	0	0	0	0	0.05	0.01	0.05	0	0	0	0	0.02	0	0	0.03	0	0.03	0	0	0	0	0	0.03	0	0	0	0	0	0.05	0.2	0	0	0	0.39	0.56	0	0	0.04	0	0	0	0	0.13	0	0	0	0	0.09	0	0	0	0.03	0.05	0	0	0	0	0	0.02	0	0	0	0	0	0
JAGRMV01	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hymenobacteraceae	0.12	0	0.33	0	0	0.55	0.68	0.86	0.01	0	0	0.25	0.58	0.35	0.13	0.14	0.31	0.57	0.17	0.05	0.08	0	0.26	0.1	0.02	0.01	0.03	0.04	0.08	0	0	0	0.03	0.18	0	0	0.08	0	0	0.02	0.18	0	0	0	0.04	0.87	0.05	0	0.22	0	0.25	0.14	0.04	0	0	0.4	0.46	0.92	1.22	0	0.05	0.28	0.01	0.02	0	0	1.89	0.04	0.22	0.04	1.18	0.13	0.06	0	0.02	0.12	0	0.02	0	0	0
2013-40CM-41-45	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0.22	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.07	0	0.07	0.06	0.03	0	0	0.08	0	0	0	0.1	0.15	0	0	0	0	0	0	0.2	0	0.15	0.26	0.21	0	0.13	0	0.07	0.04	0.16	0.02
Fen-336	0	0	1.14	0	0	0.07	0	0	0.17	0	0.43	0	0	0.05	0.37	0	0	0	0	0	0	0.05	0	0.01	0.1	0	0	0	0	0	0	0	0.08	0.07	0	0	0	0	0.27	0.06	0.05	0	0	0.39	0.12	0	0.13	0	0.31	0	0	0	0.51	0.04	0.3	0	0	0	0.01	0	0.2	0.02	0.62	0	0	0	0	0	0	0.05	0	0	0.38	0	0	0.04	0.06	0.02	0	0.46	0
JAGNNV01	0	0	0.08	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.11	0	0	0	0.16	0	0	0.19	0.03	0.01	0	0	0	0	0	0	0.11	0	0	0.12	0	0	0.23	0	0.04	0	0.14	0
2-12-FULL-66-21	0	0	0.83	0	0	0.43	0.39	0.13	0.69	0.79	1.2	0	0.03	0.38	0.89	0	0.4	0.3	0.04	0.43	0.03	0.89	0	0.57	0.86	0.38	0.4	0.17	0.72	0.41	0.81	0.53	0.92	0.26	0.66	0.49	0.65	0.87	1.22	0.82	0.38	0.2	0	0.6	4.05	0.28	4.1	0.31	2.01	2.68	2.04	0	1.28	0.69	0.02	0.02	0	0.08	0.75	0	0.12	0.02	0.08	0	0	1.73	0	0.07	0.4	0.67	0.04	0.07	0.71	0.04	0	0.19	0.59	0.33	0.1	0.74	0
UBA2999	0	0	2.84	0	0	1.47	0.96	0.15	0.81	0.53	1.54	0.08	0.13	1.3	1.49	0	0.3	0.61	0.14	0.34	0.77	1.03	0	0.33	0.56	0.35	0.27	0.31	0.42	0.28	0.33	0.28	0.44	0.98	0.43	0.19	0.55	0.32	1.15	0.63	0.46	1.58	0.71	1.73	1.91	0.55	1.31	0.31	0.93	1.28	0.84	0	1.78	1.55	0.8	0.17	0	0.67	0.67	0	1.02	0.29	3.46	0	0	2.71	0	0.07	0.57	2.09	0.22	0.22	2.31	1.62	0	0.85	1.23	1.14	0.99	2.61	0
SCN-69-37	0	0	0.19	0	0	0.24	0	0	0.05	0	0.11	0	0	0.16	0.11	0	0	0	0	0	0.01	0.04	0	0.02	0.06	0	0	0	0.05	0	0.07	0	0.05	0.31	0	0	0	0	0.11	0.08	0.05	0	0	0.2	0.18	0	0.07	0	0	0.39	0.21	0	0.37	0.44	0.22	0	0	0.18	0.06	0	1.97	0.07	0.62	0	0	0.4	0	0	0.01	0.31	0.05	0.05	0.19	0.13	0	0.17	0.04	0.07	0.18	0.43	0
Pyrinomonadaceae	0	0	4.9	0	0.07	4.53	3.98	2.5	9.82	3.87	9.89	0.26	2.8	10.25	5.55	0.19	9.65	12.72	12.38	1.56	4.49	1.89	0.02	5.76	6.85	5.42	8.57	8.35	4.39	4.43	3.3	5.29	7.14	3.19	1.16	1.3	4.42	2.64	4.18	6.17	0.45	0.96	0.68	4.17	6.26	0.77	7.32	10.59	9.3	4.68	0.89	0	7.18	6.88	0	4.23	0.32	2.2	9.34	0	0.48	4.24	3.52	0	0	11.56	0	8.27	18.48	4.82	0.17	0.42	3.07	2.6	0	2.99	17.07	0.99	1.38	5.17	0.11
RBC074	0	0	0.1	0	0	0.08	0.07	0	0.04	0	0.21	0	0	0.32	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0.3	0.63	0	0	0	0.23	0	0	0	0	0.02	0	0	0.15	0	0	0	0.16	0	0	0.09	0	0	0.12	0	0	0	0.2	0
UBA5066	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0.02	0.15	0.03	0	0	0.12	0	0	0	0	0.13	0.05	0	0	0	0	0	0.37	0	0	0.42	0.52	0	0.53	0	0.15	0.03	0.24	0
Gp7-AA6	0	0	0.57	0	0	0.38	0.17	0	0	0	0.06	0	0	0	0.27	0	0	0	0	0	0	0	0	0	0.23	0	0	0	0	0	0	0	0.15	0.39	0	0	0	0	0	0.05	0	0	0.45	2.55	1.85	0	0	0.23	0	0	0	0	1.62	0.21	0.2	0	0	0	0	0	0	0	0.32	0	0	0.88	0	0	0	0.61	0	0	0.33	0.96	0	0.04	0.49	0.84	1.17	0.63	0.06
Gp7-AA8	0	0	0.9	0	0	0.56	0.82	0.14	0.27	0.03	1.03	0	0.03	0.29	0.56	0	0.05	0.05	0	0	0.05	1.21	0	0.05	0.16	0.03	0.04	0	0.08	0.02	0.28	0.02	0.22	0.17	0	0	0.04	0.06	0.64	0.21	0.18	0	4.21	0.89	0.53	0	0.09	0.21	1.05	0.33	0	0	1.06	0	0.07	0	0	0.3	0.09	0	0.02	0	0.16	0	0	0.2	0	0.15	0.03	0.69	0.07	0.08	0.79	0.38	0	0.24	0.43	0.27	0.52	0.79	0
UBA5704	0	0	0.28	0.11	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0	0.03	0.01	0	0	0	0	0	0	0	0.08	0.38	0.2	0	0	0	0	0	1.35	0.91	0.13	0	0	0	0	0	0	0	0	0	0.07	0	0	0.1	0	0.05	0.03	0.54	0
Bryobacteraceae	0.04	0	1.28	0	0	0.64	0.64	0.1	0.27	0.07	0.58	0.05	0.55	0.89	0.41	0.44	0	0.09	0.03	0	0	0.35	0	0.05	0.15	0.01	0.05	0.1	0.07	0.06	0.05	0.06	0.14	0.47	0	0.04	0	0.03	0.12	0.14	0.03	1.14	3.69	0.41	0.18	0.09	0.55	0.94	0.29	0.29	0	4.04	0.5	1.62	7.71	0.44	0	0.4	0.21	0.14	0.14	0.09	3.08	0	0	0.43	0	0.01	0.53	1.93	2.48	0.23	1.91	2.64	0.08	0.55	0.59	1.03	2.07	0.97	0.14
UBA7541	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72	0.02	0	0	0	0	0	0	0	0.98	0	0	4.91	0	0	0	0	2.22	0.03	0	2.63	0	0	0	0	0	0	0.25	1.67	0	0.17	1.58	0	0	0	0.54	3.07	0.1	0.23
SG8-39	0.02	0	0.93	0	0	0.19	0	0	0.05	0	0.09	0	0	0.04	0.09	0	0	0	0	0	0	0.02	0	0	0.03	0	0	0	0	0	0	0	0.03	0.15	0	0	0	0	0.03	0	0	1.16	0	0.47	0.03	0	0	0	0	0	0	0	0.37	0.12	0.02	0.01	0	0.23	0	0	0.94	0.2	1.95	0	0	0	0	0	0.07	0.54	0	0.16	0.42	0.47	0	0.6	0.78	2.98	0.12	1.81	0.2
Usitatibacteraceae	0	0	0.85	0	0	0.22	0.2	0	0	0	0.27	0.02	0	0	0.07	0.16	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0	0	0.07	0	0	0.43	0	0.43	0	0	0	0	0	0	0	0	0.33	0.17	0	0	0	0.47	0	0	0.02	0.07	0.27	0	0	0	0	0	0	0.49	0	1.36	0.61	0.06	0	0.7	0.46	0.1	0.09	0.59	0.06
Casimicrobiaceae	0.09	0	1.39	0	0	1.3	0.94	0.18	0.47	0.2	0.81	1.02	0	0.38	0.73	0.3	0	0.15	0	0.03	0.01	0.34	0.02	0.22	0.56	0	0	0.08	0.26	0.14	0.37	0.23	0.48	1.63	0	0.12	0.05	0.24	0.46	0.49	0.18	0.38	2.43	2.13	0.51	0	1.26	0.3	0.14	0.46	0	0.05	1.85	1.53	0.88	0.49	0.02	2.11	0.64	0.35	0.12	0.07	2.75	0	0	1.11	0	0	0.52	2.46	0.43	0.43	1.64	2.9	0.04	1.34	1.23	1.4	1.97	1.74	1.11
SG8-41	0.02	0	0.29	0	0	0.13	0.09	0	0.16	0.05	0.22	0	0	0.33	0.24	0.03	0	0.13	0.02	0	0.19	0.21	0	0.03	0.07	0.03	0.02	0.03	0.02	0	0.04	0.04	0.08	0.26	0	0.02	0.05	0.05	0.15	0.07	0.03	0.45	0.21	0.3	0.18	0	0.15	0	0.11	0.04	0.05	0	0.37	0.45	0.04	0.06	0	0.11	0.12	0	0.73	0.44	0.34	0	0	0.21	0	0	0.1	0.32	0	0.06	0.37	0.34	0	0.33	0.47	0.56	0.23	0.66	0.08
JACQAP01	0	0	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0.47	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.07	0	0	0	0	0	0	0.07	0	0.1	0.2	0.06	0	0.04	0.03	0.24	0	0.19	0
Steroidobacteraceae	0	0	0.28	0	0.07	0.1	0	0	0.01	0	0	0.07	0	0.15	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0.43	0.1	0.01	0	0	0	0	0	0	4.65	0.06	0.35	3.92	0	0.02	0.05	0	0.45	0.65	0.09	3.62	0	0	0	0	0	0	0.25	0.33	0.04	0.24	1.37	0.03	0.38	0.08	0.81	1.41	0.28	0.21
Xanthobacteraceae	0.15	0	1.04	0	0	0.69	0.54	0.63	0.22	0.1	0.41	0.42	0	0.49	0.33	0	0.03	0.11	0.06	0.04	0.08	0.12	0.01	0.09	0.07	0.04	0.04	0.07	0.09	0.07	0.06	0.06	0.07	0.57	0	0.05	0	0.07	0.22	0.11	0.14	2.03	2.78	0.52	0.21	0	0.27	0.13	0.19	0.2	0.24	1.65	0.46	1.74	5.69	0.19	0	0.64	0.51	0.07	1.14	0.16	5.95	0	0	0.23	0	0.08	0.1	0.93	1.36	1.15	2.54	2.86	0	0.78	1.13	0.62	2.68	1.73	0.26
Aestuariivirgaceae	0	0	0.25	0	0.06	0.29	0	0	0.25	0	0.35	0	0	0.13	0.25	0	0	0	0	0	0.01	0.04	0	0	0.04	0	0	0	0	0	0	0	0.02	0.36	0	0	0	0	0.27	0.04	0.03	0.8	0.7	0.13	0.09	0.11	0.13	0	0.11	0.23	0	0	0.18	0.46	0.04	0	0	0.5	0	0	0.32	0.27	0.38	0	0	0.23	0	0	0	0.07	0	0.05	0.58	0.15	0	0.62	0.05	0.05	0.14	0.56	0
Kaistiaceae	0	0	0.11	0	0	0	0	0	0.02	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.01	0	0	0	0	0	0	0	0	0.08	0.07	0.03	0	0	0	0	0.29	0.02	0.14	0	0	0	0	0	0	0.05	0	0	0.27	0.24	0	0.04	0	0.26	0.12	0.36	0
Devosiaceae	0	0	0.1	0	0	0	0.09	0	0	0	0.07	0.26	0.05	0.2	0.11	0.2	0	0	0	0	0.01	0.02	0.09	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0	0.05	0	0.2	0	0.04	0	0	0	0	0	0	0.14	0.04	0.66	0	0	0.03	0.3	0.02	0	0.94	0.08	0.02	0	0.06	0	0	0	0.04	0.21	0	0.24	0.55	0.24	0	0.2	0	0.08	0.24	0.48	0.16
Rhizobiaceae	0	0	0.08	0.13	0.08	0	0	0.07	0.06	0.05	0	0.14	0.12	0.3	0.24	0.09	0.08	0.21	0.15	0.03	0.22	0.04	0.05	0.03	0.03	0.02	0.02	0.07	0.04	0.03	0.07	0.05	0.05	0.12	0.06	0.05	0.03	0.03	0.04	0.02	0.11	0	0	0.05	0.08	0.09	0	0	0.09	0.11	0.25	0.07	0.06	0.4	0.05	0.45	0.17	0.06	0.1	0.19	0.9	0.32	0.05	0	0	0.09	0	0.11	0.16	0.05	0.03	0.2	0.45	0.1	0	0.2	0.03	0.05	0.11	0.28	0.04
Hyphomicrobiaceae	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0.14	0.06	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0.06	0	0	0	0	0.14	0.07	0	0	0	0	0	0	0	0.08	0.17	0.31	0	0	0.23	0	0	0.62	0.15	1.06	0	0	0	0	0	0	0.05	0	0.03	0.27	0.13	0	0.28	0.04	0.04	0.07	0.25	0
Acetobacteraceae	0.31	0	0.22	0	0.06	0.08	0.13	0.2	0.08	0	0.19	0.22	0.95	0.5	0.38	1.28	0.03	0.12	0.03	0.06	0.2	0.07	0.06	0.06	0.02	0.02	0.03	0.1	0	0	0	0	0	0.16	0	0	0	0	0.09	0.02	0.03	0.27	0.48	0.05	0.07	0.32	0.1	0.22	0	0.07	0.07	4.19	0.17	0.44	1.49	0.35	0.09	0.57	0.16	1.09	0.05	0.05	0.23	0	0	0.09	0	0.03	0.66	0.3	1.17	0.36	0.24	0.52	0.36	0.18	0.14	0.29	0.59	0.13	0.28
Caulobacteraceae	0.02	0	0.32	0	0.05	0	0.12	0.16	0.17	0.07	0.11	1.15	4.93	1.2	0.64	1.36	0.07	0.28	0.19	0.09	3.07	0.09	0	0.06	0.06	0.07	0.07	0.12	0.06	0	0.08	0.1	0.07	0.31	0	0	0	0.03	0.41	0.03	0.02	0.3	0.28	0.03	0.38	0.05	0.13	0	0.36	0	0.55	3.59	0.08	0.92	0.86	0.08	0	0.66	0.11	0.13	0.39	0.57	0.34	0	0.08	0	0	0.01	0.09	0.42	0.96	0.42	0.88	0.5	0.26	0.52	0.18	0.16	0.9	0.33	0.16
Reyranellaceae	0	0	0.21	0	0	0	0	0	0.05	0	0.09	0	0	0.06	0.06	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0.07	0.02	0	0	0	0.13	0.01	0	0.15	0	0	0	0	0.04	0.03	0.26	0.27	0	0	0.15	0.02	0	0.1	0.01	0.34	0	0	0.19	0	0	0.02	0.26	0.04	0.29	0.21	0.38	0	0.19	0.25	0.06	0.31	0.37	0
Micropepsaceae	0	0	0.23	0	0	0	0	0	0	0	0	0.07	0	0.13	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0	0.7	0.69	0.03	0	0	0	0	0	0	0	1.02	0	0.87	0.96	0	0	0.11	0	0.1	0.15	0.01	0.81	0	0	0	0	0	0	0.35	0.35	0.17	0.72	1.67	0.11	0.11	0.03	0.67	2.13	0.58	0.6
CSP1-4	0.72	0	3	0.07	0	3.93	3.22	0.63	2.3	3.29	2.82	0.64	0.14	1.04	2.52	0.07	0.82	1.24	2.25	1.91	2.06	2.34	0	1.74	1.41	1.65	1.88	2.97	1.84	2.5	2.32	2.66	2.25	3.91	2.78	2.62	2.5	1.86	2.04	3.5	2.52	1.18	1.94	4.07	1.47	0	1.61	2.51	0.85	1.57	0.53	0	1.73	0.16	0.09	1.21	0	2.42	4.13	0	0.78	0.42	1.21	0	0	2.06	0	0.58	1.65	2.86	0.27	0.44	3.03	2.9	0.06	2.2	1.72	4.86	0.98	2.4	0.22
QHBO01	0	0	1.52	0	0	1.16	0.21	0	1.65	4.21	0.89	0	0.07	0.3	1.06	0	0.45	0.57	0.4	0.6	0.87	1.45	0	1.39	1.3	0.44	0.55	0.85	2.53	1.36	3.29	1.44	2.56	0.75	0.61	1.66	1.16	1.59	0.93	1.95	3.45	0	0.47	1.96	1.69	0.06	0.44	0.28	0.29	0.95	0.66	0	1.42	0	0	2.15	0	0	0.8	0	0.15	0	0.08	0	0	0.92	0	0.27	0.37	0.7	0	0.06	0.5	1.18	0	0.66	2.04	0.87	0.23	1.24	0
P2-11E	0	0	1.23	0	0	1.5	0.51	0	0.51	1.81	1.34	0	0	0	2.06	0	0	0.04	0	0.15	0	0.92	0	0.67	1.02	0.02	0.43	0.05	0.69	0.9	0.94	0.45	1.23	0.08	0	0.47	0.09	0.27	0.59	2.35	0.5	1.46	0.18	2.85	2.3	0	2.15	0.78	0	0.72	0	0	1.6	0	0	0	0	0.09	0	0	0	0	0.06	0	0	0.15	0	0	0.04	0.54	0.1	0.71	0.51	0.32	0	0.23	5.25	2.22	0.45	0.96	0
